koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_depth,koi_teq,koi_impact,koi_insol,koi_model_snr,koi_pdisposition,hier_labels_5,hier_labels_10,dbscan_labels_5
0,0,0,0,-0.08221899656466942,-0.30611415032516054,-0.41242761412825996,-0.6097886733572095,-0.04753318741929355,-0.30647384079733286,CANDIDATE,4,0,0
0,0,0,0,-0.08039249895890882,-0.30306863100484327,-0.8260194762661692,-0.04236286579693866,-0.04803321827591752,-0.31830702080345374,CANDIDATE,4,0,0
0,0,1,0,-0.04267692559083483,-0.1860195637527102,-0.5955897245036198,0.45155550760211555,-0.04785452590421442,-0.2585494617725431,FALSE POSITIVE,8,1,1
0,0,1,0,0.01775771448748935,-0.2183538071002334,0.2989503887489441,0.8474639687862136,-0.04280769458071781,0.2494489558902276,FALSE POSITIVE,8,1,1
0,0,0,0,-0.0806488495000682,-0.3062611348483419,0.3119489901304212,0.10594160663358669,-0.04260526731631748,-0.30043891899421116,CANDIDATE,4,0,0
0,0,0,0,-0.0769638104709021,-0.2955112747609516,-0.36279659067171083,-0.10426386298533191,-0.04740758781255158,-0.27014597817854163,CANDIDATE,4,0,0
0,0,0,0,-0.08058476186477835,-0.30528868524297414,0.021252995599204967,0.18460745722716979,-0.04555591104661595,-0.3012672415946397,CANDIDATE,4,0,0
0,0,0,0,-0.08436593234687924,-0.3106918363151201,0.25759120253515316,0.1755802284705291,-0.04330618651661827,-0.33108685521006437,CANDIDATE,4,0,0
1,0,1,0,0.03618290963331989,-0.31060717322976766,0.2363207639109178,0.7094763292204205,-0.04354602139245164,-0.292392356590049,FALSE POSITIVE,17,1,2
0,0,0,0,-0.07100366038894648,-0.25556911249356246,-0.64049398382145,-0.7310114595178129,-0.0479051327203145,-0.15725744092014815,CANDIDATE,4,0,0
0,0,0,0,-0.04767576114344277,-0.14601625592367756,0.2327756908068786,0.2568252872802951,-0.04358011440540328,4.7445190448153785,CANDIDATE,4,3,0
0,0,1,0,-0.03787035294409642,-0.2348689881248884,1.070594634394815,-0.5091995529260707,-0.02352998981284373,6.687053874620187,CANDIDATE,8,3,1
0,0,0,0,-0.04270896940847975,-0.20581308758240172,0.4478434591185914,0.015669319067180013,-0.040601651723564405,1.7119116728467112,CANDIDATE,4,1,0
0,0,0,0,-0.0857438165056109,-0.3118136221960401,0.07561078319447305,-0.7323010636259044,-0.0451249540547742,-0.2889607343882739,CANDIDATE,4,0,0
0,0,1,0,0.3928306000213093,-0.10188562268371298,-0.4596952555154496,2.4040161272526843,-0.047638011596268105,0.38730550296153626,FALSE POSITIVE,6,1,1
0,0,1,0,-0.06645343828336746,-0.2084823265233748,-0.73148419349179,0.23877082976701386,-0.04798243389204165,-0.09477825048782974,FALSE POSITIVE,8,1,1
0,0,1,0,0.06848307781940194,0.5601326697250281,-0.5246882624228353,0.5753575019789017,-0.047755857410133905,2.3929111821989695,FALSE POSITIVE,8,1,1
0,0,1,0,-0.06401810814235333,-0.19013513040178762,-0.6464024389948486,-0.421506473575847,-0.04791188029579451,0.010182056166462727,FALSE POSITIVE,8,1,1
0,0,0,0,-0.08154607639412605,-0.2982063829780046,-0.5825911231221427,-0.29899408330715205,-0.047839432643272284,-0.24565129556587137,CANDIDATE,4,0,0
0,0,0,0,-0.08032841132361897,-0.29086421207605045,-0.5483220831164302,-0.46535301325095874,-0.047790956640481684,-0.27144762797921496,CANDIDATE,4,0,0
1,0,1,1,-0.08439797616452416,-0.3086763845332576,-0.08982596166069068,-0.741328292382545,-0.04627985486851081,-0.2918006975897429,FALSE POSITIVE,10,0,3
0,0,0,0,-0.08128972585296665,-0.30358366477407067,-0.26353454375861257,-0.6794272951941519,-0.04708690040947528,-0.277127554382153,CANDIDATE,4,0,0
0,0,0,0,-0.08401345035278508,-0.30908323769342355,-0.14654713132531824,-0.5066203447098876,-0.0465887636091264,-0.3146387350015563,CANDIDATE,4,0,0
0,0,0,0,-0.08529520305858199,-0.3107988410479961,-0.40415577688550175,-0.765830770436284,-0.04751282631433632,-0.3321518414106152,CANDIDATE,4,0,0
0,0,0,0,-0.08000797314716974,-0.3032755852134826,-0.7232123562490318,0.35741440771143396,-0.047976810912474965,-0.308248817798251,CANDIDATE,4,0,0
0,0,0,0,-0.08055271804713343,-0.3023642811697583,-0.26589792582797206,0.11754804360641043,-0.04709897501822898,-0.31546705760198474,CANDIDATE,4,0,0
0,0,0,0,-0.08209082129408972,-0.3045267174748021,-0.15363727753339668,-0.2512787313077657,-0.0466200155376654,-0.27570757278141844,CANDIDATE,4,0,0
1,0,0,0,-0.07494504995927197,-0.28734834228155287,0.3663067777256893,0.3109886598201392,-0.04184788156331555,-0.134537735308396,FALSE POSITIVE,3,5,4
0,1,0,0,-0.04415094120250127,-0.10062743516528075,-1.1178971618320652,0.10594160663358669,-0.048085068066448126,0.41168185377414535,FALSE POSITIVE,1,0,5
0,0,1,0,0.038297801597884776,-0.25311153126597047,-0.7527546321160253,0.8113550537596509,-0.04799581066448447,-0.24789959976703432,FALSE POSITIVE,8,1,1
0,0,0,0,-0.08042454277655374,-0.304839500540132,-0.7243940472837115,-0.1945361505517386,-0.04797746199431953,-0.3077754905980062,CANDIDATE,4,0,0
