koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_pdisposition,hier_labels_5,hier_labels_10,dbscan_labels_5
0,0,0,0,-0.08221899656466942,CANDIDATE,4,0,0
0,0,0,0,-0.08039249895890882,CANDIDATE,4,0,0
0,0,1,0,-0.04267692559083483,FALSE POSITIVE,8,1,1
0,0,1,0,0.01775771448748935,FALSE POSITIVE,8,1,1
0,0,0,0,-0.0806488495000682,CANDIDATE,4,0,0
0,0,0,0,-0.0769638104709021,CANDIDATE,4,0,0
0,0,0,0,-0.08058476186477835,CANDIDATE,4,0,0
0,0,0,0,-0.08436593234687924,CANDIDATE,4,0,0
1,0,1,0,0.03618290963331989,FALSE POSITIVE,17,1,2
0,0,0,0,-0.07100366038894648,CANDIDATE,4,0,0
0,0,0,0,-0.04767576114344277,CANDIDATE,4,3,0
0,0,1,0,-0.03787035294409642,CANDIDATE,8,3,1
0,0,0,0,-0.04270896940847975,CANDIDATE,4,1,0
0,0,0,0,-0.0857438165056109,CANDIDATE,4,0,0
0,0,1,0,0.3928306000213093,FALSE POSITIVE,6,1,1
0,0,1,0,-0.06645343828336746,FALSE POSITIVE,8,1,1
0,0,1,0,0.06848307781940194,FALSE POSITIVE,8,1,1
0,0,1,0,-0.06401810814235333,FALSE POSITIVE,8,1,1
0,0,0,0,-0.08154607639412605,CANDIDATE,4,0,0
0,0,0,0,-0.08032841132361897,CANDIDATE,4,0,0
1,0,1,1,-0.08439797616452416,FALSE POSITIVE,10,0,3
0,0,0,0,-0.08128972585296665,CANDIDATE,4,0,0
0,0,0,0,-0.08401345035278508,CANDIDATE,4,0,0
0,0,0,0,-0.08529520305858199,CANDIDATE,4,0,0
0,0,0,0,-0.08000797314716974,CANDIDATE,4,0,0
0,0,0,0,-0.08055271804713343,CANDIDATE,4,0,0
0,0,0,0,-0.08209082129408972,CANDIDATE,4,0,0
1,0,0,0,-0.07494504995927197,FALSE POSITIVE,3,5,4
0,1,0,0,-0.04415094120250127,FALSE POSITIVE,1,0,5
0,0,1,0,0.038297801597884776,FALSE POSITIVE,8,1,1
0,0,0,0,-0.08042454277655374,CANDIDATE,4,0,0
0,0,0,0,-0.07709198574148178,CANDIDATE,4,0,0
0,0,0,0,-0.08096928767651743,CANDIDATE,4,0,0
0,0,0,0,-0.0795273158824959,CANDIDATE,4,0,0
0,0,0,0,-0.07869417662372792,CANDIDATE,4,0,0
0,0,0,0,-0.08266761001169833,CANDIDATE,4,0,0
0,0,0,0,-0.05033539800797134,CANDIDATE,4,0,0
1,0,1,0,-0.06850424261264251,FALSE POSITIVE,17,1,2
0,0,0,0,-0.08273169764698816,CANDIDATE,4,0,0
0,0,1,0,-0.04966247783742797,FALSE POSITIVE,8,1,1
0,0,0,0,-0.08004001696481466,CANDIDATE,4,0,0
0,0,0,0,-0.07183679964771446,CANDIDATE,4,0,0
0,0,0,0,-0.08138585730590142,CANDIDATE,4,0,0
0,0,0,0,-0.07526548813572119,CANDIDATE,4,0,0
0,0,0,0,-0.05033539800797134,CANDIDATE,4,1,0
1,0,1,0,-0.06594073720104869,FALSE POSITIVE,17,1,2
0,0,0,0,-0.08340461781753156,CANDIDATE,4,0,0
0,0,0,0,-0.07904665861782206,CANDIDATE,4,0,0
0,0,0,0,-0.07680359138267748,CANDIDATE,4,0,0
