koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
CANDIDATE,0,0,0,0,-0.08385323126456047,0
FALSE POSITIVE,0,0,1,0,-0.02098326104522217,1
CANDIDATE,0,0,0,0,-0.08500680869977768,0
CANDIDATE,0,0,0,0,-0.08426980089394447,0
FALSE POSITIVE,1,0,0,1,-0.08712170066434258,2
CANDIDATE,0,0,0,0,-0.08741009502314688,0
FALSE POSITIVE,1,0,1,1,-0.02854560200942392,3
FALSE POSITIVE,0,0,1,0,-0.02143187449225109,1
CANDIDATE,0,0,0,0,-0.08471841434097338,0
FALSE POSITIVE,1,0,0,0,0.025896844169299705,4
FALSE POSITIVE,0,0,1,0,0.1529185373137732,1
FALSE POSITIVE,0,0,1,0,0.11161405636946788,1
CANDIDATE,0,0,0,0,-0.08731396357021211,0
FALSE POSITIVE,1,0,0,1,-0.0867371748526035,2
FALSE POSITIVE,1,0,0,1,-0.08410958180571984,2
CANDIDATE,0,0,0,0,-0.08705761302905274,0
FALSE POSITIVE,1,0,1,0,-0.009639749598919545,5
CANDIDATE,0,0,0,0,-0.07895052716488729,0
FALSE POSITIVE,1,0,1,0,0.005965589594157803,5
CANDIDATE,0,0,0,0,-0.07465665560046766,0
CANDIDATE,0,0,0,0,-0.08343666163517648,0
CANDIDATE,0,0,0,0,-0.0869935253937629,0
FALSE POSITIVE,0,0,1,0,0.38039759877507934,1
FALSE POSITIVE,0,0,0,1,-0.08141790112354635,6
CANDIDATE,0,0,0,0,-0.08196264602351003,0
CANDIDATE,0,0,0,0,-0.05850657150742663,0
CANDIDATE,0,0,0,0,-0.08221899656466942,0
CANDIDATE,0,0,0,0,-0.08686535012318321,0
CANDIDATE,0,0,0,0,-0.08391731889985031,0
FALSE POSITIVE,0,0,1,0,0.07498797280132125,1
FALSE POSITIVE,0,0,1,0,0.15807759195460575,1
CANDIDATE,0,0,0,0,-0.08045658659419867,0
CANDIDATE,0,0,0,0,-0.08228308419995925,0
FALSE POSITIVE,0,0,1,0,0.3928306000213093,1
CANDIDATE,0,0,0,0,-0.08548746596445153,0
CANDIDATE,0,0,0,0,-0.08619242995263983,0
FALSE POSITIVE,0,1,0,0,0.02868465630440797,7
CANDIDATE,0,0,0,0,-0.08519907160564723,0
FALSE POSITIVE,1,0,1,0,0.03618290963331989,5
