koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_depth,koi_teq,koi_impact,koi_insol,koi_model_snr
CANDIDATE,0,0,0,0,2.26,615.8,793.0,0.146,93.59,35.8
CANDIDATE,0,0,0,0,2.83,874.8,443.0,0.586,9.11,25.8
FALSE POSITIVE,0,0,1,0,14.6,10829.0,638.0,0.969,39.3,76.3
FALSE POSITIVE,0,0,1,0,33.46,8079.2,1395.0,1.276,891.96,505.6
CANDIDATE,0,0,0,0,2.75,603.3,1406.0,0.701,926.16,40.9
CANDIDATE,0,0,0,0,3.9,1517.5,835.0,0.538,114.81,66.5
CANDIDATE,0,0,0,0,2.77,686.0,1160.0,0.762,427.65,40.2
CANDIDATE,0,0,0,0,1.59,226.5,1360.0,0.755,807.74,15.0
FALSE POSITIVE,1,0,1,0,39.21,233.7,1342.0,1.169,767.22,47.7
CANDIDATE,0,0,0,0,5.76,4914.3,600.0,0.052,30.75,161.9
CANDIDATE,0,0,0,0,13.04,14231.0,1339.0,0.818,761.46,4304.3
CANDIDATE,0,0,1,0,16.1,6674.7,2048.0,0.224,4148.92,5945.9
CANDIDATE,0,0,0,0,14.59,9145.7,1521.0,0.631,1264.67,1741.5
CANDIDATE,0,0,0,0,1.16,131.1,1206.0,0.051,500.46,50.6
FALSE POSITIVE,0,0,1,0,150.51,17984.0,753.0,2.483,75.88,622.1
FALSE POSITIVE,0,0,1,0,7.18,8918.7,523.0,0.804,17.69,214.7
FALSE POSITIVE,0,0,1,0,49.29,74284.0,698.0,1.065,55.97,2317.0
FALSE POSITIVE,0,0,1,0,7.94,10479.0,595.0,0.292,29.61,303.4
CANDIDATE,0,0,0,0,2.47,1288.3,649.0,0.387,41.85,87.2
CANDIDATE,0,0,0,0,2.85,1912.7,678.0,0.258,50.04,65.4
FALSE POSITIVE,1,0,1,1,1.58,397.9,1066.0,0.044,305.34,48.2
CANDIDATE,0,0,0,0,2.55,831.0,919.0,0.092,168.99,60.6
CANDIDATE,0,0,0,0,1.7,363.3,1018.0,0.226,253.15,28.9
CANDIDATE,0,0,0,0,1.3,217.4,800.0,0.025,97.03,14.1
CANDIDATE,0,0,0,0,2.95,857.2,530.0,0.896,18.64,34.3
CANDIDATE,0,0,0,0,2.78,934.7,917.0,0.71,166.95,28.2
CANDIDATE,0,0,0,0,2.3,750.8,1012.0,0.424,247.87,61.8
FALSE POSITIVE,1,0,0,0,4.53,2211.7,1452.0,0.86,1054.12,181.1
FALSE POSITIVE,0,1,0,0,14.14,18091.0,196.0,0.701,0.35,642.7
FALSE POSITIVE,0,0,1,0,39.87,5123.3,505.0,1.248,15.43,85.3
CANDIDATE,0,0,0,0,2.82,724.2,529.0,0.468,18.53,34.7
CANDIDATE,0,0,0,0,3.86,2213.9,439.0,0.045,8.76,51.2
CANDIDATE,0,0,0,0,2.65,1036.9,823.0,0.105,108.3,47.1
CANDIDATE,0,0,0,0,3.1,1121.9,593.0,0.799,29.31,33.2
CANDIDATE,0,0,0,0,3.36,1804.8,506.0,0.021,15.55,80.0
CANDIDATE,0,0,0,0,2.12,652.0,359.0,0.606,3.92,19.1
CANDIDATE,0,0,0,0,12.21,9802.0,1103.0,0.831,349.4,696.5
FALSE POSITIVE,1,0,1,0,6.54,860.4,1222.0,1.016,527.81,48.3
CANDIDATE,0,0,0,0,2.1,460.0,1133.0,0.312,389.62,29.5
FALSE POSITIVE,0,0,1,0,12.42,11766.0,730.0,0.723,67.03,513.4
CANDIDATE,0,0,0,0,2.94,601.6,1093.0,0.787,337.68,166.7
CANDIDATE,0,0,0,0,5.5,2793.1,516.0,0.355,16.72,141.1
CANDIDATE,0,0,0,0,2.52,1041.6,790.0,0.023,91.9,43.4
CANDIDATE,0,0,0,0,4.43,1487.3,1243.0,0.597,565.35,128.6
CANDIDATE,0,0,0,0,12.21,16814.0,1219.0,0.105,521.13,1406.8
FALSE POSITIVE,1,0,1,0,7.34,8503.7,430.0,0.812,8.11,236.1
CANDIDATE,0,0,0,0,1.89,426.7,1147.0,0.151,408.99,35.6
CANDIDATE,0,0,0,0,3.25,1010.9,1104.0,0.405,351.23,71.1
CANDIDATE,0,0,0,0,3.95,1023.5,806.0,0.911,99.68,37.9
CANDIDATE,0,0,0,0,3.07,1510.9,489.0,0.602,13.49,48.2
CANDIDATE,0,0,0,0,2.64,511.7,785.0,0.866,89.61,88.4
CANDIDATE,0,0,0,0,1.79,192.4,997.0,0.898,233.31,47.1
FALSE POSITIVE,0,0,1,0,15.03,24446.0,967.0,0.137,206.78,835.6
CANDIDATE,0,0,0,0,2.0,1127.1,433.0,0.001,8.35,28.9
CANDIDATE,0,0,0,0,2.16,1306.1,553.0,0.041,22.18,38.7
CANDIDATE,0,0,0,0,1.99,1122.3,332.0,0.028,2.88,21.7
