koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad
CANDIDATE,0,0,0,0,2.26
CANDIDATE,0,0,0,0,2.83
FALSE POSITIVE,0,0,1,0,14.6
FALSE POSITIVE,0,0,1,0,33.46
CANDIDATE,0,0,0,0,2.75
CANDIDATE,0,0,0,0,3.9
CANDIDATE,0,0,0,0,2.77
CANDIDATE,0,0,0,0,1.59
FALSE POSITIVE,1,0,1,0,39.21
CANDIDATE,0,0,0,0,5.76
CANDIDATE,0,0,0,0,13.04
CANDIDATE,0,0,1,0,16.1
CANDIDATE,0,0,0,0,14.59
CANDIDATE,0,0,0,0,1.16
FALSE POSITIVE,0,0,1,0,150.51
FALSE POSITIVE,0,0,1,0,7.18
FALSE POSITIVE,0,0,1,0,49.29
FALSE POSITIVE,0,0,1,0,7.94
CANDIDATE,0,0,0,0,2.47
CANDIDATE,0,0,0,0,2.85
FALSE POSITIVE,1,0,1,1,1.58
CANDIDATE,0,0,0,0,2.55
CANDIDATE,0,0,0,0,1.7
CANDIDATE,0,0,0,0,1.3
CANDIDATE,0,0,0,0,2.95
CANDIDATE,0,0,0,0,2.78
CANDIDATE,0,0,0,0,2.3
FALSE POSITIVE,1,0,0,0,4.53
FALSE POSITIVE,0,1,0,0,14.14
FALSE POSITIVE,0,0,1,0,39.87
CANDIDATE,0,0,0,0,2.82
CANDIDATE,0,0,0,0,3.86
CANDIDATE,0,0,0,0,2.65
CANDIDATE,0,0,0,0,3.1
CANDIDATE,0,0,0,0,3.36
CANDIDATE,0,0,0,0,2.12
CANDIDATE,0,0,0,0,12.21
FALSE POSITIVE,1,0,1,0,6.54
CANDIDATE,0,0,0,0,2.1
FALSE POSITIVE,0,0,1,0,12.42
CANDIDATE,0,0,0,0,2.94
CANDIDATE,0,0,0,0,5.5
CANDIDATE,0,0,0,0,2.52
CANDIDATE,0,0,0,0,4.43
CANDIDATE,0,0,0,0,12.21
FALSE POSITIVE,1,0,1,0,7.34
CANDIDATE,0,0,0,0,1.89
CANDIDATE,0,0,0,0,3.25
CANDIDATE,0,0,0,0,3.95
CANDIDATE,0,0,0,0,3.07
CANDIDATE,0,0,0,0,2.64
CANDIDATE,0,0,0,0,1.79
FALSE POSITIVE,0,0,1,0,15.03
CANDIDATE,0,0,0,0,2.0
CANDIDATE,0,0,0,0,2.16
CANDIDATE,0,0,0,0,1.99
CANDIDATE,0,0,0,0,6.02
CANDIDATE,0,0,0,0,7.51
CANDIDATE,0,0,0,0,1.99
FALSE POSITIVE,0,0,1,0,11.23
CANDIDATE,0,0,0,0,2.34
CANDIDATE,0,0,0,0,19.45
CANDIDATE,0,0,0,0,0.55
CANDIDATE,0,0,0,0,2.65
CANDIDATE,0,0,0,0,5.31
CANDIDATE,0,0,0,0,4.86
CANDIDATE,0,0,0,0,1.93
CANDIDATE,0,0,0,0,1.91
CANDIDATE,0,0,0,0,2.66
CANDIDATE,0,0,0,0,2.87
FALSE POSITIVE,1,0,1,0,21.55
CANDIDATE,0,0,0,0,32.43
CANDIDATE,0,0,0,0,3.12
CANDIDATE,0,0,0,0,3.32
CANDIDATE,0,0,0,0,2.59
CANDIDATE,0,0,0,0,2.36
CANDIDATE,0,0,0,0,7.4
FALSE POSITIVE,0,0,1,0,46.58
FALSE POSITIVE,1,0,1,0,28.59
CANDIDATE,0,0,0,0,2.06
CANDIDATE,0,0,0,0,2.77
FALSE POSITIVE,1,0,1,1,27.51
CANDIDATE,0,0,0,0,7.73
CANDIDATE,0,0,0,0,1.96
CANDIDATE,0,0,0,0,1.83
CANDIDATE,0,0,0,0,1.31
CANDIDATE,0,0,0,0,1.2
CANDIDATE,0,0,0,0,7.34
CANDIDATE,0,0,0,0,2.32
CANDIDATE,0,0,0,0,9.73
CANDIDATE,0,0,0,0,13.6
FALSE POSITIVE,1,1,0,0,17.47
CANDIDATE,0,0,0,0,2.57
FALSE POSITIVE,0,0,1,0,13.28
CANDIDATE,0,0,0,0,8.9
CANDIDATE,0,0,0,0,0.79
CANDIDATE,0,0,0,0,12.19
FALSE POSITIVE,1,0,0,1,25.69
FALSE POSITIVE,1,0,0,1,1.7
CANDIDATE,0,0,0,0,11.3
