koi_pdisposition,koi_score,koi_fpflag_ss,koi_fpflag_nt,koi_fpflag_ec,koi_fpflag_co,koi_depth,koi_period,koi_teq,koi_model_snr
CANDIDATE,1.0,0,0,0,0,615.8,9.48803557,793.0,35.8
CANDIDATE,0.969,0,0,0,0,874.8,54.4183827,443.0,25.8
FALSE POSITIVE,0.0,1,0,0,0,10829.0,19.89913995,638.0,76.3
FALSE POSITIVE,0.0,1,0,0,0,8079.2,1.7369524530000002,1395.0,505.6
CANDIDATE,1.0,0,0,0,0,603.3,2.525591777,1406.0,40.9
CANDIDATE,1.0,0,0,0,0,1517.5,11.09432054,835.0,66.5
CANDIDATE,1.0,0,0,0,0,686.0,4.13443512,1160.0,40.2
CANDIDATE,0.992,0,0,0,0,226.5,2.56658897,1360.0,15.0
FALSE POSITIVE,0.0,1,0,0,1,233.7,7.36178958,1342.0,47.7
CANDIDATE,1.0,0,0,0,0,4914.3,16.06864674,600.0,161.9
CANDIDATE,0.811,0,0,0,0,14231.0,2.470613377,1339.0,4304.3
CANDIDATE,1.0,1,0,0,0,6674.7,2.2047354169999998,2048.0,5945.9
CANDIDATE,0.998,0,0,0,0,9145.7,3.5224984289999997,1521.0,1741.5
CANDIDATE,1.0,0,0,0,0,131.1,3.709214104,1206.0,50.6
FALSE POSITIVE,0.0,1,0,0,0,17984.0,11.521446064000001,753.0,622.1
FALSE POSITIVE,0.0,1,0,0,0,8918.7,19.40393776,523.0,214.7
FALSE POSITIVE,0.0,1,0,0,0,74284.0,19.221388942,698.0,2317.0
FALSE POSITIVE,0.0,1,0,0,0,10479.0,16.46983774,595.0,303.4
CANDIDATE,1.0,0,0,0,0,1288.3,9.27358173,649.0,87.2
CANDIDATE,1.0,0,0,0,0,1912.7,6.02930329,678.0,65.4
FALSE POSITIVE,0.0,1,0,1,1,397.9,2.6963706519999997,1066.0,48.2
CANDIDATE,1.0,0,0,0,0,831.0,5.349553819,919.0,60.6
CANDIDATE,0.98,0,0,0,0,363.3,3.94105221,1018.0,28.9
CANDIDATE,0.971,0,0,0,0,217.4,8.10904807,800.0,14.1
CANDIDATE,1.0,0,0,0,0,857.2,21.67699193,530.0,34.3
CANDIDATE,1.0,0,0,0,0,934.7,4.99677968,917.0,28.2
CANDIDATE,1.0,0,0,0,0,750.8,4.280963604,1012.0,61.8
FALSE POSITIVE,0.0,0,0,0,1,2211.7,1.50635409,1452.0,181.1
FALSE POSITIVE,0.0,0,1,0,0,18091.0,670.645531,196.0,642.7
FALSE POSITIVE,0.0,1,0,0,0,5123.3,61.2563628,505.0,85.3
CANDIDATE,1.0,0,0,0,0,724.2,38.3775486,529.0,34.7
CANDIDATE,0.992,0,0,0,0,2213.9,41.19725502,439.0,51.2
CANDIDATE,1.0,0,0,0,0,1036.9,6.252962248999999,823.0,47.1
CANDIDATE,1.0,0,0,0,0,1121.9,16.01308419,593.0,33.2
CANDIDATE,1.0,0,0,0,0,1804.8,32.62876672,506.0,80.0
CANDIDATE,0.978,0,0,0,0,652.0,91.7732862,359.0,19.1
CANDIDATE,1.0,0,0,0,0,9802.0,4.959319244,1103.0,696.5
FALSE POSITIVE,0.0,1,0,0,1,860.4,2.7012878010000003,1222.0,48.3
CANDIDATE,1.0,0,0,0,0,460.0,4.49876511,1133.0,29.5
FALSE POSITIVE,0.0,1,0,0,0,11766.0,19.651209505,730.0,513.4
CANDIDATE,1.0,0,0,0,0,601.6,5.412203927,1093.0,166.7
CANDIDATE,0.998,0,0,0,0,2793.1,41.43958662,516.0,141.1
CANDIDATE,1.0,0,0,0,0,1041.6,8.35389523,790.0,43.4
CANDIDATE,1.0,0,0,0,0,1487.3,4.1255434719999995,1243.0,128.6
CANDIDATE,1.0,0,0,0,0,16814.0,2.816504904,1219.0,1406.8
FALSE POSITIVE,0.0,1,0,0,1,8503.7,33.93373447,430.0,236.1
CANDIDATE,1.0,0,0,0,0,426.7,3.6899200989999996,1147.0,35.6
CANDIDATE,1.0,0,0,0,0,1010.9,4.431238488,1104.0,71.1
CANDIDATE,1.0,0,0,0,0,1023.5,11.37936986,806.0,37.9
CANDIDATE,1.0,0,0,0,0,1510.9,26.39432897,489.0,48.2
CANDIDATE,1.0,0,0,0,0,511.7,13.57078281,785.0,88.4
CANDIDATE,1.0,0,0,0,0,192.4,7.12594387,997.0,47.1
FALSE POSITIVE,0.014,1,0,0,0,24446.0,7.442652004,967.0,835.6
CANDIDATE,1.0,0,0,0,0,1127.1,16.38489988,433.0,28.9
CANDIDATE,1.0,0,0,0,0,1306.1,7.8774163,553.0,38.7
CANDIDATE,1.0,0,0,0,0,1122.3,36.4454001,332.0,21.7
CANDIDATE,1.0,0,0,0,0,5226.5,3.7287321469999997,1023.0,345.2
CANDIDATE,0.999,0,0,0,0,6256.0,40.4195037,467.0,36.9
CANDIDATE,1.0,0,0,0,0,821.7,2.243380573,822.0,38.9
FALSE POSITIVE,0.0,1,0,0,0,14489.0,10.405998015,833.0,745.2
CANDIDATE,1.0,0,0,0,0,971.2,2.337437946,1070.0,82.4
CANDIDATE,0.993,0,0,0,0,556.4,7.2406612,734.0,13.7
CANDIDATE,0.871,0,0,0,0,23.2,3.43591631,1272.0,8.7
CANDIDATE,1.0,0,0,0,0,2804.5,11.59822233,396.0,71.0
CANDIDATE,1.0,0,0,0,0,2793.3,6.575315881,1015.0,221.1
CANDIDATE,1.0,0,0,0,0,3001.0,7.275040843999999,833.0,312.1
CANDIDATE,1.0,0,0,0,0,1219.8,19.27153892,393.0,37.1
CANDIDATE,1.0,0,0,0,0,1053.3,10.06524317,488.0,30.3
CANDIDATE,1.0,0,0,0,0,916.6,12.3935651,677.0,35.8
CANDIDATE,0.998,0,0,0,0,615.2,43.84439721,531.0,83.7
FALSE POSITIVE,0.0,1,0,0,1,725.3,3.341913228,1032.0,39.0
CANDIDATE,0.773,0,0,0,0,1620.6,1.626630225,1547.0,103.6
CANDIDATE,1.0,0,0,0,0,837.5,2.711504086,1420.0,64.5
CANDIDATE,1.0,0,0,0,0,950.4,7.21203748,1025.0,51.5
CANDIDATE,1.0,0,0,0,0,1123.5,8.47237911,751.0,47.6
CANDIDATE,0.989,0,0,0,0,931.3,60.4189369,390.0,20.1
CANDIDATE,1.0,0,0,0,0,6105.6,12.611904345,753.0,277.2
FALSE POSITIVE,0.0,1,0,0,0,1976.3,1.433769925,1920.0,112.6
FALSE POSITIVE,0.0,1,0,0,1,871.7,10.31872301,876.0,38.2
CANDIDATE,1.0,0,0,0,0,382.1,2.5391831469999997,1332.0,38.9
CANDIDATE,1.0,0,0,0,0,1304.0,6.770300385,812.0,50.8
FALSE POSITIVE,0.0,1,0,1,1,10967.0,0.44429196600000004,1836.0,299.7
CANDIDATE,1.0,0,0,0,0,5741.1,10.181584004,812.0,183.6
CANDIDATE,1.0,0,0,0,0,1494.7,20.06036336,361.0,35.2
CANDIDATE,1.0,0,0,0,0,1394.7,46.1842039,273.0,26.0
CANDIDATE,0.952,0,0,0,0,104.0,23.9800854,649.0,17.1
CANDIDATE,0.994,0,0,0,0,520.8,7.82502168,494.0,15.9
CANDIDATE,1.0,0,0,0,0,8544.8,3.895936525,1005.0,370.8
CANDIDATE,0.999,0,0,0,0,986.8,22.36646466,536.0,32.1
CANDIDATE,1.0,0,0,0,0,7969.0,1.625522174,1579.0,799.7
CANDIDATE,1.0,0,0,0,0,21725.0,19.620346923,643.0,340.5
FALSE POSITIVE,0.0,0,1,0,1,322.6,7.544039,838.0,14.2
CANDIDATE,1.0,0,0,0,0,1019.8,9.02930689,757.0,53.9
FALSE POSITIVE,0.053,1,0,0,0,16918.0,10.328035714,843.0,636.8
CANDIDATE,1.0,0,0,0,0,10566.0,143.2063047,308.0,138.8
CANDIDATE,0.95,0,0,0,0,55.8,6.164876,1021.0,14.4
