koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
CANDIDATE,0,0,0,0,2.26,0
CANDIDATE,0,0,0,0,2.83,0
FALSE POSITIVE,0,0,1,0,14.6,1
FALSE POSITIVE,0,0,1,0,33.46,1
CANDIDATE,0,0,0,0,2.75,0
CANDIDATE,0,0,0,0,3.9,0
CANDIDATE,0,0,0,0,2.77,0
CANDIDATE,0,0,0,0,1.59,0
FALSE POSITIVE,1,0,1,0,39.21,2
CANDIDATE,0,0,0,0,5.76,0
CANDIDATE,0,0,0,0,13.04,0
CANDIDATE,0,0,1,0,16.1,1
CANDIDATE,0,0,0,0,14.59,0
CANDIDATE,0,0,0,0,1.16,0
FALSE POSITIVE,0,0,1,0,150.51,1
FALSE POSITIVE,0,0,1,0,7.18,1
FALSE POSITIVE,0,0,1,0,49.29,1
FALSE POSITIVE,0,0,1,0,7.94,1
CANDIDATE,0,0,0,0,2.47,0
CANDIDATE,0,0,0,0,2.85,0
FALSE POSITIVE,1,0,1,1,1.58,3
CANDIDATE,0,0,0,0,2.55,0
CANDIDATE,0,0,0,0,1.7,0
CANDIDATE,0,0,0,0,1.3,0
CANDIDATE,0,0,0,0,2.95,0
CANDIDATE,0,0,0,0,2.78,0
CANDIDATE,0,0,0,0,2.3,0
FALSE POSITIVE,1,0,0,0,4.53,4
FALSE POSITIVE,0,1,0,0,14.14,5
FALSE POSITIVE,0,0,1,0,39.87,1
CANDIDATE,0,0,0,0,2.82,0
CANDIDATE,0,0,0,0,3.86,0
CANDIDATE,0,0,0,0,2.65,0
CANDIDATE,0,0,0,0,3.1,0
CANDIDATE,0,0,0,0,3.36,0
CANDIDATE,0,0,0,0,2.12,0
CANDIDATE,0,0,0,0,12.21,0
FALSE POSITIVE,1,0,1,0,6.54,2
CANDIDATE,0,0,0,0,2.1,0
FALSE POSITIVE,0,0,1,0,12.42,1
CANDIDATE,0,0,0,0,2.94,0
CANDIDATE,0,0,0,0,5.5,0
CANDIDATE,0,0,0,0,2.52,0
