koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
CANDIDATE,0,0,0,0,-0.08385323126456047,24
FALSE POSITIVE,0,0,1,0,-0.02098326104522217,0
CANDIDATE,0,0,0,0,-0.08500680869977768,24
CANDIDATE,0,0,0,0,-0.08426980089394447,24
FALSE POSITIVE,1,0,0,1,-0.08712170066434258,11
CANDIDATE,0,0,0,0,-0.08741009502314688,24
FALSE POSITIVE,1,0,1,1,-0.02854560200942392,21
FALSE POSITIVE,0,0,1,0,-0.02143187449225109,0
CANDIDATE,0,0,0,0,-0.08471841434097338,24
FALSE POSITIVE,1,0,0,0,0.025896844169299705,3
FALSE POSITIVE,0,0,1,0,0.1529185373137732,0
FALSE POSITIVE,0,0,1,0,0.11161405636946788,0
CANDIDATE,0,0,0,0,-0.08731396357021211,24
FALSE POSITIVE,1,0,0,1,-0.0867371748526035,11
FALSE POSITIVE,1,0,0,1,-0.08410958180571984,11
CANDIDATE,0,0,0,0,-0.08705761302905274,24
FALSE POSITIVE,1,0,1,0,-0.009639749598919545,12
CANDIDATE,0,0,0,0,-0.07895052716488729,24
FALSE POSITIVE,1,0,1,0,0.005965589594157803,12
CANDIDATE,0,0,0,0,-0.07465665560046766,24
CANDIDATE,0,0,0,0,-0.08343666163517648,24
CANDIDATE,0,0,0,0,-0.0869935253937629,24
FALSE POSITIVE,0,0,1,0,0.38039759877507934,9
FALSE POSITIVE,0,0,0,1,-0.08141790112354635,7
CANDIDATE,0,0,0,0,-0.08196264602351003,24
CANDIDATE,0,0,0,0,-0.05850657150742663,24
CANDIDATE,0,0,0,0,-0.08221899656466942,24
CANDIDATE,0,0,0,0,-0.08686535012318321,24
CANDIDATE,0,0,0,0,-0.08391731889985031,24
FALSE POSITIVE,0,0,1,0,0.07498797280132125,0
FALSE POSITIVE,0,0,1,0,0.15807759195460575,0
CANDIDATE,0,0,0,0,-0.08045658659419867,24
CANDIDATE,0,0,0,0,-0.08228308419995925,24
FALSE POSITIVE,0,0,1,0,0.3928306000213093,9
CANDIDATE,0,0,0,0,-0.08548746596445153,24
CANDIDATE,0,0,0,0,-0.08619242995263983,24
FALSE POSITIVE,0,1,0,0,0.02868465630440797,4
CANDIDATE,0,0,0,0,-0.08519907160564723,24
FALSE POSITIVE,1,0,1,0,0.03618290963331989,12
FALSE POSITIVE,0,0,1,0,0.216813909697749,9
FALSE POSITIVE,0,0,1,0,0.025288011634046183,0
CANDIDATE,0,0,0,0,-0.024636256256743358,24
CANDIDATE,0,0,0,0,-0.08241125947053896,24
CANDIDATE,0,0,0,0,-0.0861603861349949,24
FALSE POSITIVE,0,0,1,0,0.2580863468244094,9
